projectid,projectstateid,clientid,providerid,disciplineid,tierid,projectname,projectgoals,projectdescription,uploadlocation,attributesknowledge,startbydatetime,deadlinedatetime,minyears,maxyears,interactionfrequency,filterbyindustry,budgetcurrency,budget,hours,effectivehourlyrate,advertisementdatetime,createddate,updateddate,deleteddate,qualityofwork,timeliness,responsiveness,professionalism,likeability,knowledge,attentiontodetail
1423,2,7,75,4,2,,,,,,,2014-Aug-11 00:00:00 +0000,,,,,,,,,,,,,5,8,5,5,7,4,7
1424,2,11,75,4,2,,,,,,,2014-Jan-26 00:00:00 +0000,,,,,,,,,,,,,6,8,4,7,4,4,8
1425,2,9,75,4,2,,,,,,,2014-Mar-25 00:00:00 +0000,,,,,,,,,,,,,4,5,7,4,7,7,6
1426,2,14,75,4,2,,,,,,,2014-Aug-25 00:00:00 +0000,,,,,,,,,,,,,7,8,5,6,8,5,8
1427,2,12,75,4,2,,,,,,,2014-Jun-29 00:00:00 +0000,,,,,,,,,,,,,6,4,7,5,7,5,7
1428,2,8,75,4,2,,,,,,,2014-May-13 00:00:00 +0000,,,,,,,,,,,,,6,4,8,4,7,8,7
1429,2,2,75,4,2,,,,,,,2014-Feb-14 00:00:00 +0000,,,,,,,,,,,,,6,6,8,5,7,6,9
1430,2,15,75,4,2,,,,,,,2014-May-05 00:00:00 +0000,,,,,,,,,,,,,4,7,6,5,5,7,7
1431,2,3,75,4,2,,,,,,,2014-Apr-22 00:00:00 +0000,,,,,,,,,,,,,6,6,8,7,6,6,9
1432,2,6,75,4,2,,,,,,,2014-Aug-19 00:00:00 +0000,,,,,,,,,,,,,4,9,4,4,5,7,9
1433,2,8,75,4,2,,,,,,,2014-Feb-13 00:00:00 +0000,,,,,,,,,,,,,8,8,4,8,4,4,7
1434,2,10,75,4,2,,,,,,,2014-Feb-08 00:00:00 +0000,,,,,,,,,,,,,6,8,4,8,5,5,6
1435,2,11,75,4,2,,,,,,,2014-Jun-06 00:00:00 +0000,,,,,,,,,,,,,4,5,8,5,8,8,9
1436,2,18,75,4,2,,,,,,,2014-Feb-04 00:00:00 +0000,,,,,,,,,,,,,4,6,8,4,7,5,8
1437,2,7,75,4,2,,,,,,,2014-Jul-28 00:00:00 +0000,,,,,,,,,,,,,7,7,8,5,4,7,9
1438,2,19,75,4,2,,,,,,,2014-Feb-26 00:00:00 +0000,,,,,,,,,,,,,4,6,9,5,6,5,7
1439,2,7,75,4,2,,,,,,,2014-Jan-09 00:00:00 +0000,,,,,,,,,,,,,7,5,6,4,8,5,5
1440,2,14,75,4,2,,,,,,,2014-Jan-02 00:00:00 +0000,,,,,,,,,,,,,9,5,4,5,5,4,5
1441,2,11,75,4,2,,,,,,,2014-Aug-31 00:00:00 +0000,,,,,,,,,,,,,8,7,6,9,9,4,8
1442,2,3,76,4,2,,,,,,,2014-Jul-10 00:00:00 +0000,,,,,,,,,,,,,4,6,6,7,9,4,6
1443,2,9,76,4,2,,,,,,,2014-Aug-13 00:00:00 +0000,,,,,,,,,,,,,6,6,6,4,8,4,4
1444,2,14,76,4,2,,,,,,,2014-Apr-18 00:00:00 +0000,,,,,,,,,,,,,5,4,5,9,6,4,9
1445,2,20,76,4,2,,,,,,,2014-May-05 00:00:00 +0000,,,,,,,,,,,,,7,4,8,6,8,8,4
1446,2,2,76,4,2,,,,,,,2014-Feb-26 00:00:00 +0000,,,,,,,,,,,,,9,6,6,9,6,7,6
1447,2,2,76,4,2,,,,,,,2014-May-20 00:00:00 +0000,,,,,,,,,,,,,6,6,8,7,4,4,7
1448,2,7,76,4,2,,,,,,,2014-Apr-09 00:00:00 +0000,,,,,,,,,,,,,4,5,4,7,6,6,6
1449,2,12,76,4,2,,,,,,,2014-Jan-22 00:00:00 +0000,,,,,,,,,,,,,4,6,4,7,7,6,7
1450,2,11,76,4,2,,,,,,,2014-Jun-15 00:00:00 +0000,,,,,,,,,,,,,4,6,4,4,4,4,6
1451,2,8,76,4,2,,,,,,,2014-Aug-15 00:00:00 +0000,,,,,,,,,,,,,8,6,5,6,8,4,7
1452,2,4,76,4,2,,,,,,,2014-Feb-27 00:00:00 +0000,,,,,,,,,,,,,4,7,8,6,8,4,5
1453,2,4,76,4,2,,,,,,,2014-Mar-20 00:00:00 +0000,,,,,,,,,,,,,6,8,6,6,8,4,7
1454,2,10,76,4,2,,,,,,,2014-May-26 00:00:00 +0000,,,,,,,,,,,,,4,6,5,7,8,6,9
1455,2,12,76,4,2,,,,,,,2014-Jun-27 00:00:00 +0000,,,,,,,,,,,,,6,4,9,6,7,4,9
1456,2,19,76,4,2,,,,,,,2014-Apr-16 00:00:00 +0000,,,,,,,,,,,,,6,4,5,7,4,6,4
1457,2,17,76,4,2,,,,,,,2014-Apr-29 00:00:00 +0000,,,,,,,,,,,,,5,5,6,9,5,4,6
1458,2,14,76,4,2,,,,,,,2014-Apr-15 00:00:00 +0000,,,,,,,,,,,,,5,9,9,6,7,8,5
1459,2,11,76,4,2,,,,,,,2014-Apr-09 00:00:00 +0000,,,,,,,,,,,,,7,4,7,5,8,5,9
1460,2,16,76,4,2,,,,,,,2014-Jun-05 00:00:00 +0000,,,,,,,,,,,,,4,8,4,8,4,4,6
1461,2,8,76,4,2,,,,,,,2014-May-28 00:00:00 +0000,,,,,,,,,,,,,7,5,7,8,8,7,8
1462,2,8,77,4,2,,,,,,,2014-Jan-09 00:00:00 +0000,,,,,,,,,,,,,8,7,6,5,6,9,6
1463,2,14,77,4,2,,,,,,,2014-Sep-01 00:00:00 +0000,,,,,,,,,,,,,7,6,9,6,4,4,9
1464,2,10,77,4,2,,,,,,,2014-Feb-19 00:00:00 +0000,,,,,,,,,,,,,7,5,7,6,9,5,5
1465,2,5,77,4,2,,,,,,,2014-Feb-05 00:00:00 +0000,,,,,,,,,,,,,8,5,8,4,6,8,7
1466,2,20,77,4,2,,,,,,,2014-Feb-02 00:00:00 +0000,,,,,,,,,,,,,7,6,8,6,6,4,6
1467,2,14,77,4,2,,,,,,,2014-Jul-28 00:00:00 +0000,,,,,,,,,,,,,5,4,6,6,6,8,4
1468,2,15,77,4,2,,,,,,,2014-Jul-14 00:00:00 +0000,,,,,,,,,,,,,9,6,8,6,8,4,7
1469,2,16,77,4,2,,,,,,,2014-Feb-16 00:00:00 +0000,,,,,,,,,,,,,7,5,6,5,6,5,4
1470,2,17,77,4,2,,,,,,,2014-May-02 00:00:00 +0000,,,,,,,,,,,,,8,5,7,8,8,7,8
1471,2,16,77,4,2,,,,,,,2014-Jul-28 00:00:00 +0000,,,,,,,,,,,,,5,8,7,9,7,4,8
1472,2,7,77,4,2,,,,,,,2014-Apr-15 00:00:00 +0000,,,,,,,,,,,,,4,9,7,8,7,8,4
1473,2,18,77,4,2,,,,,,,2014-May-29 00:00:00 +0000,,,,,,,,,,,,,7,7,9,5,8,6,8
1474,2,8,77,4,2,,,,,,,2014-Mar-26 00:00:00 +0000,,,,,,,,,,,,,8,6,7,7,6,5,8
1475,2,7,77,4,2,,,,,,,2014-May-20 00:00:00 +0000,,,,,,,,,,,,,9,6,4,4,6,4,4
1476,2,9,77,4,2,,,,,,,2014-Jun-03 00:00:00 +0000,,,,,,,,,,,,,6,8,6,5,9,4,5
1477,2,17,77,4,2,,,,,,,2014-Feb-24 00:00:00 +0000,,,,,,,,,,,,,6,9,7,7,5,9,7
1478,2,12,77,4,2,,,,,,,2014-Aug-15 00:00:00 +0000,,,,,,,,,,,,,8,8,8,9,8,4,9
1479,2,8,77,4,2,,,,,,,2014-Jun-17 00:00:00 +0000,,,,,,,,,,,,,9,7,6,9,4,6,4
1480,2,13,77,4,2,,,,,,,2014-Apr-10 00:00:00 +0000,,,,,,,,,,,,,4,9,8,9,9,6,5
1481,2,19,77,4,2,,,,,,,2014-Jun-27 00:00:00 +0000,,,,,,,,,,,,,4,7,7,4,5,7,6
1482,2,15,78,4,2,,,,,,,2014-May-06 00:00:00 +0000,,,,,,,,,,,,,9,4,8,4,5,7,8
1483,2,17,78,4,2,,,,,,,2014-Mar-21 00:00:00 +0000,,,,,,,,,,,,,9,6,6,9,5,4,6
1484,2,4,78,4,2,,,,,,,2014-Feb-10 00:00:00 +0000,,,,,,,,,,,,,9,7,4,4,4,5,8
1485,2,7,78,4,2,,,,,,,2014-Apr-08 00:00:00 +0000,,,,,,,,,,,,,9,6,6,7,4,6,6
1486,2,10,78,4,2,,,,,,,2014-Jan-12 00:00:00 +0000,,,,,,,,,,,,,4,4,6,4,6,9,6
1487,2,17,78,4,2,,,,,,,2014-Apr-14 00:00:00 +0000,,,,,,,,,,,,,6,7,6,4,4,9,5
1488,2,17,78,4,2,,,,,,,2014-Jul-11 00:00:00 +0000,,,,,,,,,,,,,4,6,8,7,4,5,4
1489,2,5,78,4,2,,,,,,,2014-Aug-06 00:00:00 +0000,,,,,,,,,,,,,9,5,8,7,9,4,8
1490,2,20,78,4,2,,,,,,,2014-Aug-02 00:00:00 +0000,,,,,,,,,,,,,8,5,6,7,5,9,5
1491,2,12,78,4,2,,,,,,,2014-Aug-20 00:00:00 +0000,,,,,,,,,,,,,5,4,4,6,6,6,6
1492,2,2,78,4,2,,,,,,,2014-Jul-03 00:00:00 +0000,,,,,,,,,,,,,5,5,4,9,8,6,7
1493,2,20,78,4,2,,,,,,,2014-Jul-15 00:00:00 +0000,,,,,,,,,,,,,9,9,7,4,6,4,8
1494,2,15,78,4,2,,,,,,,2014-Jun-22 00:00:00 +0000,,,,,,,,,,,,,7,5,7,5,9,4,8
1495,2,8,78,4,2,,,,,,,2014-Jul-27 00:00:00 +0000,,,,,,,,,,,,,4,8,4,4,4,4,6
1496,2,10,78,4,2,,,,,,,2014-Jan-24 00:00:00 +0000,,,,,,,,,,,,,4,6,6,8,8,7,6
1497,2,10,78,4,2,,,,,,,2014-Mar-05 00:00:00 +0000,,,,,,,,,,,,,7,9,5,7,7,7,8
1498,2,6,78,4,2,,,,,,,2014-Jan-25 00:00:00 +0000,,,,,,,,,,,,,7,6,6,4,6,8,8
1499,2,3,78,4,2,,,,,,,2014-Jul-25 00:00:00 +0000,,,,,,,,,,,,,4,5,5,5,7,6,6
1500,2,12,78,4,2,,,,,,,2014-Aug-26 00:00:00 +0000,,,,,,,,,,,,,9,9,5,4,6,5,9
1501,2,8,78,4,2,,,,,,,2014-Apr-24 00:00:00 +0000,,,,,,,,,,,,,6,5,6,4,7,4,9
1502,2,13,79,4,2,,,,,,,2014-May-13 00:00:00 +0000,,,,,,,,,,,,,9,7,7,7,5,5,6
1503,2,9,79,4,2,,,,,,,2014-Aug-19 00:00:00 +0000,,,,,,,,,,,,,6,5,7,4,6,8,7
1504,2,18,79,4,2,,,,,,,2014-Aug-19 00:00:00 +0000,,,,,,,,,,,,,4,9,9,6,4,7,9
1505,2,13,79,4,2,,,,,,,2014-Aug-05 00:00:00 +0000,,,,,,,,,,,,,7,6,6,4,4,4,7
1506,2,20,79,4,2,,,,,,,2014-Jul-21 00:00:00 +0000,,,,,,,,,,,,,6,5,9,6,4,9,4
1507,2,20,79,4,2,,,,,,,2014-Aug-08 00:00:00 +0000,,,,,,,,,,,,,4,4,8,5,9,6,9
1508,2,18,79,4,2,,,,,,,2014-Mar-22 00:00:00 +0000,,,,,,,,,,,,,5,5,4,9,6,7,5
1509,2,5,79,4,2,,,,,,,2014-Aug-28 00:00:00 +0000,,,,,,,,,,,,,7,4,7,7,8,8,8
1510,2,14,79,4,2,,,,,,,2014-Mar-20 00:00:00 +0000,,,,,,,,,,,,,8,4,8,4,9,9,7
1511,2,6,79,4,2,,,,,,,2014-Mar-08 00:00:00 +0000,,,,,,,,,,,,,8,7,5,6,5,5,8
1512,2,17,79,4,2,,,,,,,2014-Jan-15 00:00:00 +0000,,,,,,,,,,,,,4,5,6,5,5,7,4
1513,2,7,79,4,2,,,,,,,2014-Jun-02 00:00:00 +0000,,,,,,,,,,,,,7,6,7,8,4,7,7
1514,2,7,79,4,2,,,,,,,2014-Apr-04 00:00:00 +0000,,,,,,,,,,,,,4,7,5,8,9,8,8
1515,2,6,79,4,2,,,,,,,2014-May-24 00:00:00 +0000,,,,,,,,,,,,,8,5,7,9,8,5,4
1516,2,13,79,4,2,,,,,,,2014-Aug-03 00:00:00 +0000,,,,,,,,,,,,,8,7,5,8,6,9,6
1517,2,5,79,4,2,,,,,,,2014-May-19 00:00:00 +0000,,,,,,,,,,,,,9,6,7,4,6,8,8
1518,2,11,79,4,2,,,,,,,2014-May-03 00:00:00 +0000,,,,,,,,,,,,,4,5,8,4,5,8,6
1519,2,4,79,4,2,,,,,,,2014-Mar-01 00:00:00 +0000,,,,,,,,,,,,,7,7,7,8,8,5,7
1520,2,18,79,4,2,,,,,,,2014-Feb-06 00:00:00 +0000,,,,,,,,,,,,,5,8,7,6,8,5,4
1521,2,2,79,4,2,,,,,,,2014-Aug-17 00:00:00 +0000,,,,,,,,,,,,,4,6,6,8,5,7,8
1522,2,4,80,4,2,,,,,,,2014-Jan-20 00:00:00 +0000,,,,,,,,,,,,,6,9,7,5,4,7,5
1523,2,5,80,4,2,,,,,,,2014-Mar-22 00:00:00 +0000,,,,,,,,,,,,,5,7,8,4,8,5,9
1524,2,19,80,4,2,,,,,,,2014-Aug-07 00:00:00 +0000,,,,,,,,,,,,,4,7,4,5,7,4,8
1525,2,6,80,4,2,,,,,,,2014-Jun-26 00:00:00 +0000,,,,,,,,,,,,,9,6,8,5,8,7,7
1526,2,5,80,4,2,,,,,,,2014-Jun-27 00:00:00 +0000,,,,,,,,,,,,,7,5,6,5,4,8,9
1527,2,10,80,4,2,,,,,,,2014-May-27 00:00:00 +0000,,,,,,,,,,,,,6,6,6,4,8,7,7
1528,2,6,80,4,2,,,,,,,2014-Aug-26 00:00:00 +0000,,,,,,,,,,,,,9,6,7,6,8,9,6
1529,2,18,80,4,2,,,,,,,2014-Jan-25 00:00:00 +0000,,,,,,,,,,,,,4,5,7,7,4,4,8
1530,2,7,80,4,2,,,,,,,2014-May-07 00:00:00 +0000,,,,,,,,,,,,,5,9,4,5,6,8,8
1531,2,5,80,4,2,,,,,,,2014-Feb-27 00:00:00 +0000,,,,,,,,,,,,,4,7,6,7,6,4,4
1532,2,8,80,4,2,,,,,,,2014-May-03 00:00:00 +0000,,,,,,,,,,,,,8,5,8,8,4,4,9
1533,2,16,80,4,2,,,,,,,2014-May-17 00:00:00 +0000,,,,,,,,,,,,,7,6,8,4,4,4,4
1534,2,8,80,4,2,,,,,,,2014-Aug-12 00:00:00 +0000,,,,,,,,,,,,,7,5,7,8,6,9,7
1535,2,5,80,4,2,,,,,,,2014-Jan-31 00:00:00 +0000,,,,,,,,,,,,,5,4,8,7,5,8,9
1536,2,14,80,4,2,,,,,,,2014-Aug-27 00:00:00 +0000,,,,,,,,,,,,,6,4,5,7,4,4,8
1537,2,15,80,4,2,,,,,,,2014-Aug-30 00:00:00 +0000,,,,,,,,,,,,,5,4,6,8,9,8,4
1538,2,20,80,4,2,,,,,,,2014-Apr-30 00:00:00 +0000,,,,,,,,,,,,,4,6,5,5,5,4,9
1539,2,4,80,4,2,,,,,,,2014-Feb-22 00:00:00 +0000,,,,,,,,,,,,,5,9,5,5,6,4,6
1540,2,13,80,4,2,,,,,,,2014-Jul-18 00:00:00 +0000,,,,,,,,,,,,,8,7,5,9,6,4,8
1541,2,7,80,4,2,,,,,,,2014-Feb-12 00:00:00 +0000,,,,,,,,,,,,,6,6,9,9,4,5,5
1542,2,15,81,4,2,,,,,,,2014-Jan-24 00:00:00 +0000,,,,,,,,,,,,,8,8,8,5,5,4,9
1543,2,8,81,4,2,,,,,,,2014-Jun-13 00:00:00 +0000,,,,,,,,,,,,,7,8,5,8,9,4,6
1544,2,17,81,4,2,,,,,,,2014-Jul-17 00:00:00 +0000,,,,,,,,,,,,,4,8,8,4,5,8,6
1545,2,4,81,4,2,,,,,,,2014-May-13 00:00:00 +0000,,,,,,,,,,,,,5,6,8,8,8,5,9
1546,2,9,81,4,2,,,,,,,2014-Jan-05 00:00:00 +0000,,,,,,,,,,,,,9,4,7,8,9,8,7
1547,2,12,81,4,2,,,,,,,2014-Jan-23 00:00:00 +0000,,,,,,,,,,,,,7,9,9,5,8,4,4
1548,2,4,81,4,2,,,,,,,2014-May-17 00:00:00 +0000,,,,,,,,,,,,,6,5,6,6,4,7,7
1549,2,2,81,4,2,,,,,,,2014-Mar-08 00:00:00 +0000,,,,,,,,,,,,,4,4,5,8,7,8,5
1550,2,5,81,4,2,,,,,,,2014-Jul-04 00:00:00 +0000,,,,,,,,,,,,,9,6,6,7,9,8,4
1551,2,4,81,4,2,,,,,,,2014-Jan-01 00:00:00 +0000,,,,,,,,,,,,,5,9,5,5,6,7,5
1552,2,18,81,4,2,,,,,,,2014-Jun-01 00:00:00 +0000,,,,,,,,,,,,,8,6,4,9,6,7,4
1553,2,15,81,4,2,,,,,,,2014-Jan-21 00:00:00 +0000,,,,,,,,,,,,,7,7,4,7,4,4,5
1554,2,16,81,4,2,,,,,,,2014-Jun-08 00:00:00 +0000,,,,,,,,,,,,,5,6,5,6,6,4,7
1555,2,13,81,4,2,,,,,,,2014-Aug-04 00:00:00 +0000,,,,,,,,,,,,,6,6,4,4,8,4,5
1556,2,4,81,4,2,,,,,,,2014-Apr-19 00:00:00 +0000,,,,,,,,,,,,,8,4,6,4,9,7,9
1557,2,8,81,4,2,,,,,,,2014-May-07 00:00:00 +0000,,,,,,,,,,,,,4,8,4,8,8,5,6
1558,2,13,81,4,2,,,,,,,2014-Aug-10 00:00:00 +0000,,,,,,,,,,,,,5,6,9,5,4,9,5
1559,2,15,81,4,2,,,,,,,2014-Jan-15 00:00:00 +0000,,,,,,,,,,,,,4,9,7,5,8,4,7
1560,2,18,81,4,2,,,,,,,2014-Mar-22 00:00:00 +0000,,,,,,,,,,,,,6,8,9,5,8,6,6
1561,2,16,81,4,2,,,,,,,2014-Feb-01 00:00:00 +0000,,,,,,,,,,,,,5,6,8,8,9,5,4
1562,2,10,82,4,2,,,,,,,2014-Jun-28 00:00:00 +0000,,,,,,,,,,,,,9,6,7,5,7,7,8
1563,2,5,82,4,2,,,,,,,2014-Apr-15 00:00:00 +0000,,,,,,,,,,,,,5,4,7,8,7,8,8
1564,2,2,82,4,2,,,,,,,2014-Mar-18 00:00:00 +0000,,,,,,,,,,,,,9,9,6,4,9,4,6
1565,2,12,82,4,2,,,,,,,2014-Mar-09 00:00:00 +0000,,,,,,,,,,,,,8,9,7,7,5,8,4
1566,2,16,82,4,2,,,,,,,2014-Jan-25 00:00:00 +0000,,,,,,,,,,,,,7,7,8,6,4,8,4
1567,2,12,82,4,2,,,,,,,2014-Jan-31 00:00:00 +0000,,,,,,,,,,,,,6,4,7,4,4,5,7
1568,2,3,82,4,2,,,,,,,2014-Aug-30 00:00:00 +0000,,,,,,,,,,,,,9,8,6,6,4,5,6
1569,2,12,82,4,2,,,,,,,2014-May-19 00:00:00 +0000,,,,,,,,,,,,,8,8,8,5,6,7,6
1570,2,4,82,4,2,,,,,,,2014-Jun-18 00:00:00 +0000,,,,,,,,,,,,,9,8,4,6,5,9,4
1571,2,12,82,4,2,,,,,,,2014-May-27 00:00:00 +0000,,,,,,,,,,,,,4,7,4,6,8,8,6
1572,2,13,82,4,2,,,,,,,2014-Mar-11 00:00:00 +0000,,,,,,,,,,,,,4,9,7,5,6,8,6
1573,2,3,82,4,2,,,,,,,2014-Jul-27 00:00:00 +0000,,,,,,,,,,,,,8,7,4,5,5,4,6
1574,2,5,82,4,2,,,,,,,2014-Jul-12 00:00:00 +0000,,,,,,,,,,,,,9,4,5,4,6,8,6
1575,2,9,82,4,2,,,,,,,2014-Aug-08 00:00:00 +0000,,,,,,,,,,,,,8,4,8,8,5,9,5
1576,2,16,82,4,2,,,,,,,2014-Jan-24 00:00:00 +0000,,,,,,,,,,,,,7,4,5,7,6,8,8
1577,2,5,82,4,2,,,,,,,2014-Jun-07 00:00:00 +0000,,,,,,,,,,,,,5,7,8,6,7,9,8
1578,2,14,82,4,2,,,,,,,2014-Apr-11 00:00:00 +0000,,,,,,,,,,,,,5,8,7,8,8,9,7
1579,2,15,82,4,2,,,,,,,2014-Mar-06 00:00:00 +0000,,,,,,,,,,,,,4,5,4,4,6,7,4
1580,2,17,82,4,2,,,,,,,2014-Apr-11 00:00:00 +0000,,,,,,,,,,,,,8,6,6,8,8,5,7
1581,2,8,82,4,2,,,,,,,2014-Aug-04 00:00:00 +0000,,,,,,,,,,,,,4,9,9,5,7,8,4
1582,2,7,83,4,2,,,,,,,2014-Sep-01 00:00:00 +0000,,,,,,,,,,,,,8,4,8,4,9,8,7
1583,2,12,83,4,2,,,,,,,2014-Jan-03 00:00:00 +0000,,,,,,,,,,,,,6,6,6,7,6,4,6
1584,2,7,83,4,2,,,,,,,2014-Aug-05 00:00:00 +0000,,,,,,,,,,,,,5,6,4,6,8,8,5
1585,2,5,83,4,2,,,,,,,2014-May-29 00:00:00 +0000,,,,,,,,,,,,,5,6,6,5,4,6,6
1586,2,3,83,4,2,,,,,,,2014-Apr-05 00:00:00 +0000,,,,,,,,,,,,,6,9,4,5,8,9,4
1587,2,16,83,4,2,,,,,,,2014-Jan-27 00:00:00 +0000,,,,,,,,,,,,,4,4,7,6,7,5,8
1588,2,17,83,4,2,,,,,,,2014-Aug-10 00:00:00 +0000,,,,,,,,,,,,,8,9,9,7,4,8,4
1589,2,14,83,4,2,,,,,,,2014-Jul-17 00:00:00 +0000,,,,,,,,,,,,,8,7,9,9,5,6,5
1590,2,9,83,4,2,,,,,,,2014-Jun-22 00:00:00 +0000,,,,,,,,,,,,,6,4,6,8,6,6,7
1591,2,7,83,4,2,,,,,,,2014-May-15 00:00:00 +0000,,,,,,,,,,,,,4,8,9,4,5,4,8
1592,2,20,83,4,2,,,,,,,2014-Feb-11 00:00:00 +0000,,,,,,,,,,,,,7,8,6,5,5,9,8
1593,2,11,83,4,2,,,,,,,2014-Aug-18 00:00:00 +0000,,,,,,,,,,,,,7,4,8,7,8,6,6
1594,2,14,83,4,2,,,,,,,2014-Jun-04 00:00:00 +0000,,,,,,,,,,,,,4,4,7,8,6,5,4
1595,2,19,83,4,2,,,,,,,2014-Jul-25 00:00:00 +0000,,,,,,,,,,,,,7,4,7,4,5,5,5
1596,2,2,83,4,2,,,,,,,2014-Jul-17 00:00:00 +0000,,,,,,,,,,,,,4,6,5,4,7,7,4
1597,2,15,83,4,2,,,,,,,2014-Feb-18 00:00:00 +0000,,,,,,,,,,,,,5,6,6,4,6,8,4
1598,2,13,83,4,2,,,,,,,2014-Mar-27 00:00:00 +0000,,,,,,,,,,,,,5,5,4,8,5,8,8
1599,2,4,83,4,2,,,,,,,2014-Apr-19 00:00:00 +0000,,,,,,,,,,,,,9,6,7,6,6,6,8
1600,2,9,83,4,2,,,,,,,2014-Apr-19 00:00:00 +0000,,,,,,,,,,,,,7,8,5,5,6,6,7
1601,2,20,83,4,2,,,,,,,2014-Jul-19 00:00:00 +0000,,,,,,,,,,,,,6,6,9,5,7,5,4
1602,2,12,84,4,3,,,,,,,2014-Feb-27 00:00:00 +0000,,,,,,,,,,,,,4,6,9,5,4,8,4
1603,2,5,84,4,3,,,,,,,2014-Apr-21 00:00:00 +0000,,,,,,,,,,,,,6,7,5,6,9,5,8
1604,2,3,84,4,3,,,,,,,2014-Apr-26 00:00:00 +0000,,,,,,,,,,,,,5,8,7,7,6,4,5
1605,2,8,84,4,3,,,,,,,2014-Jun-30 00:00:00 +0000,,,,,,,,,,,,,4,4,6,7,6,7,9
1606,2,12,84,4,3,,,,,,,2014-Mar-24 00:00:00 +0000,,,,,,,,,,,,,8,7,8,5,4,4,4
1607,2,17,84,4,3,,,,,,,2014-Jul-14 00:00:00 +0000,,,,,,,,,,,,,5,9,8,7,5,4,9
1608,2,10,84,4,3,,,,,,,2014-Aug-03 00:00:00 +0000,,,,,,,,,,,,,4,5,7,7,9,7,5
1609,2,2,84,4,3,,,,,,,2014-Mar-27 00:00:00 +0000,,,,,,,,,,,,,6,7,9,9,5,6,7
1610,2,7,84,4,3,,,,,,,2014-Jan-15 00:00:00 +0000,,,,,,,,,,,,,6,5,9,6,7,4,6
1611,2,12,84,4,3,,,,,,,2014-Feb-03 00:00:00 +0000,,,,,,,,,,,,,8,9,9,7,8,8,8
1612,2,6,84,4,3,,,,,,,2014-Aug-26 00:00:00 +0000,,,,,,,,,,,,,8,9,5,5,4,6,8
1613,2,6,84,4,3,,,,,,,2014-Jul-05 00:00:00 +0000,,,,,,,,,,,,,4,7,7,4,5,5,6
1614,2,14,84,4,3,,,,,,,2014-Jul-04 00:00:00 +0000,,,,,,,,,,,,,7,9,6,6,8,4,5
1615,2,9,84,4,3,,,,,,,2014-Jan-15 00:00:00 +0000,,,,,,,,,,,,,6,8,9,8,6,4,5
1616,2,11,84,4,3,,,,,,,2014-Jan-09 00:00:00 +0000,,,,,,,,,,,,,5,6,4,5,6,4,5
1617,2,18,84,4,3,,,,,,,2014-Feb-17 00:00:00 +0000,,,,,,,,,,,,,7,9,5,4,5,6,6
1618,2,11,84,4,3,,,,,,,2014-Jul-30 00:00:00 +0000,,,,,,,,,,,,,5,4,4,5,4,6,5
1619,2,10,84,4,3,,,,,,,2014-Aug-18 00:00:00 +0000,,,,,,,,,,,,,6,5,8,8,8,4,4
1620,2,4,84,4,3,,,,,,,2014-Feb-17 00:00:00 +0000,,,,,,,,,,,,,6,8,7,7,4,6,4
1621,2,8,84,4,3,,,,,,,2014-Mar-14 00:00:00 +0000,,,,,,,,,,,,,6,6,4,8,7,6,4
1622,2,20,85,4,3,,,,,,,2014-Jun-06 00:00:00 +0000,,,,,,,,,,,,,6,9,5,9,9,9,8
1623,2,3,85,4,3,,,,,,,2014-May-05 00:00:00 +0000,,,,,,,,,,,,,4,6,7,4,9,5,9
1624,2,20,85,4,3,,,,,,,2014-Jun-21 00:00:00 +0000,,,,,,,,,,,,,4,5,8,9,6,6,6
1625,2,15,85,4,3,,,,,,,2014-Feb-05 00:00:00 +0000,,,,,,,,,,,,,5,7,4,9,7,9,7
1626,2,13,85,4,3,,,,,,,2014-Mar-01 00:00:00 +0000,,,,,,,,,,,,,7,5,8,9,7,4,7
1627,2,15,85,4,3,,,,,,,2014-Jan-12 00:00:00 +0000,,,,,,,,,,,,,5,7,7,9,4,5,4
1628,2,14,85,4,3,,,,,,,2014-Feb-25 00:00:00 +0000,,,,,,,,,,,,,8,9,7,5,7,8,5
1629,2,12,85,4,3,,,,,,,2014-Jun-01 00:00:00 +0000,,,,,,,,,,,,,4,7,7,7,4,6,5
1630,2,10,85,4,3,,,,,,,2014-Jun-24 00:00:00 +0000,,,,,,,,,,,,,4,7,4,8,9,9,7
1631,2,6,85,4,3,,,,,,,2014-Jan-01 00:00:00 +0000,,,,,,,,,,,,,6,7,9,6,4,7,6
1632,2,11,85,4,3,,,,,,,2014-Aug-17 00:00:00 +0000,,,,,,,,,,,,,6,4,4,6,4,7,9
1633,2,2,85,4,3,,,,,,,2014-Jul-14 00:00:00 +0000,,,,,,,,,,,,,7,7,8,5,4,9,6
1634,2,14,85,4,3,,,,,,,2014-Feb-09 00:00:00 +0000,,,,,,,,,,,,,8,8,4,4,6,4,5
1635,2,9,85,4,3,,,,,,,2014-Jun-08 00:00:00 +0000,,,,,,,,,,,,,6,4,8,6,8,7,6
1636,2,19,85,4,3,,,,,,,2014-Jul-07 00:00:00 +0000,,,,,,,,,,,,,9,5,4,7,4,7,5
1637,2,12,85,4,3,,,,,,,2014-Jul-31 00:00:00 +0000,,,,,,,,,,,,,7,9,5,8,9,6,4
1638,2,6,85,4,3,,,,,,,2014-Jul-27 00:00:00 +0000,,,,,,,,,,,,,8,8,8,4,5,6,9
